08/17/18 16:28:34:142 | [WARN] |  | ASU | OPM | IMSLibHelper |  |  | 309091 | Failed in fetching default user id for the service, while processing fetchDefaultUserGUIDForClientID
08/17/18 16:28:34:142 | [INFO] |  | ASU | OPM | IMSLib |  |  | 309091 | Not duplicating the DUC entry - fetchDefaultUserGUIDForClientID failed in IMS_registerClientToGroup
08/17/18 16:28:34:143 | [INFO] |  | ASU | OPM | IMSLib |  |  | 309091 | Releasing IMSLib instance
08/17/18 16:28:34:143 | [INFO] |  | ASU | OPM | IMSLib |  |  | 309091 | IMSLib instance released ...
08/17/18 16:28:35:357 | [INFO] |  | ASU | IMSLib | IMSLib |  |  | 309091 | Build Version - 10.0.0.15
08/17/18 16:28:35:357 | [INFO] |  | ASU | IMSLib | IMSLib |  |  | 309091 | Logging Level verbosity Set  to 4
08/17/18 16:28:35:357 | [INFO] |  | ASU | IMSLib | IMSLib |  |  | 309091 | Creating IMSLib Ex instance ...
08/17/18 16:28:35:357 | [INFO] |  | ASU | OPM | OPM |  |  | 309091 | Build Version - 10.0.0.15
08/17/18 16:28:35:358 | [INFO] |  | ASU | OPM | OPM |  |  | 309091 | Logging Level verbosity Set  to 4
08/17/18 16:28:35:361 | [INFO] |  | ASU | OPM | OPM |  |  | 309091 | Schema version and schema compatibility version are same or greater than current

08/17/18 16:28:35:361 | [INFO] |  | ASU | OPM | IMSLibHelper |  |  | 309091 | OPMWrapper allocation succeeded
08/17/18 16:28:35:362 | [INFO] |  | ASU | OPM | OPM |  |  | 309091 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
08/17/18 16:28:35:362 | [INFO] |  | ASU | OPM | OPM |  |  | 309091 | No Record found for the input fields in opm_getValueForKey
08/17/18 16:28:35:362 | [INFO] |  | ASU | OPM | IMSLib_OPMWrapper |  |  | 309091 | Failed in getting value for key in OPMGetValueForKey domain:OOBE subDomain:ProxyCredentials key:ProxyUsername
08/17/18 16:28:35:362 | [INFO] |  | ASU | OPM | IMSLibHelper |  |  | 309091 | Failed to get proxy user name from local db in getProxyCredentialsFromLocalStore
08/17/18 16:28:35:362 | [INFO] |  | ASU | OPM | IMSLib |  |  | 309091 | Failed get proxy credentials from local store while creating IMSLib Ex instance ...
08/17/18 16:28:35:363 | [INFO] |  | ASU | OPM | IMSLib |  |  | 309091 | Performing fetchDefaultUserInfoForClientId...
08/17/18 16:28:35:363 | [INFO] |  | ASU | OPM | OPM |  |  | 309091 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
08/17/18 16:28:35:363 | [INFO] |  | ASU | OPM | OPM |  |  | 309091 | No Record found for the input fields in opm_getValueForKey
08/17/18 16:28:35:363 | [INFO] |  | ASU | OPM | IMSLib_OPMWrapper |  |  | 309091 | Failed in getting value for key in OPMGetValueForKey domain:IMSLib subDomain:CSServiceMap key:CCXInAppWelcomeProcess
08/17/18 16:28:35:363 | [WARN] |  | ASU | OPM | IMSLibHelper |  |  | 309091 | Failed in fetching default user id for the service, while processing fetchDefaultUserGUIDForClientID
08/17/18 16:28:35:363 | [INFO] |  | ASU | OPM | IMSLib |  |  | 309091 | Failed to get default user for clientId in fetchDefaultUserInfoForClientId...
08/17/18 16:28:35:364 | [INFO] |  | ASU | OPM | IMSLib |  |  | 309091 | Releasing IMSLib instance
